Friendly Name,Internal Reference
10 Band Graphic,HD2_EQGraphic10Band
12-String,VIC_PitchTwelveString
3 Note Generator,HD2_Synth3NoteGenerator
3-Band Comp,HD2_Compressor3BandComp
4 OSC Generator,HD2_Synth4OSCGenerator
4-Voice Chorus,HD2_Chorus4Voice
60s Bias Trem,HD2_Tremolo60sBiasTrem
70s Chorus,HD2_Chorus70sChorus
ADT,HD2_DelayADT
AM Ring Mod,HD2_RingModulatorAMRingMod
Acoustic Sim,L6SPB_AcousGtrSim
Adriatic Delay,HD2_DelayAdriaticDelay
Adriatic Swell,HD2_DelaySwellAdriatic
Alpaca Rouge,HD2_DistAlpacaRouge
Ampeg Opto Comp,HD2_CompressorOptoComp
Arbitrator Fuzz,HD2_DistArbitratorFuzz
Asheville Pattrn,HD2_FilterAshevillePattrn
Auto Filter,HD2_FilterAutoFilter
Autoswell,HD2_CompressorAutoSwell
Ballistic Fuzz,HD2_DistBallisticFuzz
Bighorn Fuzz,HD2_DistRamsHead
Bitcrusher,HD2_DistBitcrusher
Bleat Chop Trem,HD2_TremoloPattern
Boctaver,VIC_PitchBoctaver
Bubble Vibrato,HD2_VibratoBubbleVibrato
Bucket Brigade,HD2_DelayBucketBrigade
Cali Q Graphic,HD2_CaliQ
Chorus,HD2_Chorus
Chrome,HD2_WahChrome
Chrome Custom,HD2_WahChromeCustom
Clawthorn Drive,HD2_DistClawthornDrive
Colorful,HD2_WahColorful
Compulsive Drive,HD2_DistCompulsiveDrive
Conductor,HD2_WahConductor
Cosmos Echo,HD2_DelayCosmosEcho
Courtesan Flange,HD2_FlangerCourtesanFlange
Crisscross,HD2_DelayCrissCross
Dark Dove Fuzz,HD2_DistDarkDoveFuzz
Deez One Mod,HD2_DistDeezOneMod
Deez One Vintage,HD2_DistDeezOneVintage
Deluxe Comp,HD2_CompressorDeluxeComp
Deluxe Phaser,HD2_PhaserDeluxePhaser
Deranged Master,HD2_DistDerangedMaster
Double Take,HD2_DelayDoubleDouble
Double Tank,HD2_ReverbDoubleTank
Dual Pitch,HD2_PitchDualPitch
Ducked Delay,HD2_DelayDuckedDelay
Dyhana Drive,HD2_DistDhyanaDrive
Dynamic Ambience,VIC_ReverbDynAmbience
Dynamic Bloom,VIC_ReverbDynBloom
Dynamic Hall,VIC_ReverbRotating
Dynamic Plate,VIC_DynPlate
Dynamic Room,VIC_ReverbDynRoom
Dynamix Flanger,HD2_FlangerDynamixFlanger
Elephant Man,HD2_DelayElephantMan
Euclidean Delay,Victoria_EuclideanDelay
Fassel,HD2_WahFassel
Feedbacker,VIC_FeedbackSim
FlexoVibe,VIC_FlexoVibe
Gain,HD2_VolPanGain
Ganymede,HD2_ReverbGanymede
Glitch Delay,VIC_DelayGlitch
Glitz,HD2_ReverbGlitz
Gray Flanger,HD2_FlangerGrayFlanger
Hard Gate,HD2_GateHardGate
Harmonic Flanger,HD2_FlangerHarmonicFlanger
Harmonic Tremolo,HD2_TremoloHarmonic
Hedgehog D9,HD2_DistHedgehogD9
Heir Apparent,HD2_DistHeirApparent
Heliosphere,HD2_DelayHeliosphere
Horizon Drive,HD2_DistHorizonDrive
Horizon Gate,HD2_GateHorizonGate
Hot Springs,HD2_ReverbHxSpring
IR 1024,HD2_ImpulseResponse1024
IR 2048,HD2_ImpulseResponse2048
Industrial Fuzz,HD2_DistIndustrialFuzz
